frequency,V0_amp,V1_amp,V2_amp,V3_amp,V4_amp,V5_amp,V6_amp,V7_amp,V8_amp,V9_amp,V10_amp,V11_amp,V12_amp,V13_amp,V14_amp,V15_amp,V16_amp,V17_amp,V18_amp,V19_amp,V20_amp,V21_amp,V22_amp,V23_amp,V24_amp,V25_amp,V26_amp,V27_amp,V28_amp,V29_amp,V30_amp,V31_amp,V32_amp,V33_amp,V34_amp,V35_amp,V36_amp,V37_amp,V38_amp,V39_amp,V40_amp
1.446946e+04,1.122543e+00,1.166286e+00,1.205773e+00,1.226663e+00,1.247173e+00,1.316196e+00,1.374216e+00,1.401964e+00,1.394494e+00,1.346565e+00,1.280310e+00,1.220323e+00,1.181687e+00,1.162217e+00,1.153352e+00,1.157724e+00,1.158092e+00,1.151241e+00,1.145333e+00,1.173094e+00,1.213886e+00,1.261283e+00,1.297958e+00,1.313299e+00,1.321816e+00,1.333856e+00,1.332164e+00,1.312752e+00,1.283183e+00,1.251949e+00,1.219334e+00,1.208501e+00,1.219417e+00,1.227222e+00,1.240721e+00,1.263447e+00,1.265835e+00,1.259842e+00,1.255897e+00,1.247555e+00,1.235022e+00
1.591441e+04,1.170348e+00,1.173131e+00,1.178230e+00,1.181507e+00,1.173356e+00,1.247158e+00,1.311607e+00,1.353221e+00,1.357785e+00,1.339658e+00,1.295331e+00,1.260462e+00,1.239086e+00,1.218649e+00,1.218389e+00,1.206709e+00,1.190606e+00,1.164246e+00,1.124477e+00,1.131996e+00,1.174445e+00,1.230430e+00,1.281828e+00,1.305519e+00,1.330281e+00,1.359657e+00,1.362869e+00,1.346039e+00,1.311311e+00,1.272340e+00,1.225300e+00,1.204670e+00,1.215057e+00,1.222704e+00,1.241701e+00,1.270773e+00,1.275557e+00,1.269855e+00,1.265516e+00,1.253341e+00,1.240232e+00
1.735935e+04,1.236260e+00,1.260746e+00,1.259798e+00,1.239693e+00,1.209672e+00,1.230821e+00,1.267759e+00,1.262124e+00,1.282390e+00,1.273062e+00,1.232897e+00,1.230491e+00,1.249047e+00,1.271889e+00,1.293845e+00,1.294166e+00,1.272607e+00,1.225676e+00,1.139432e+00,1.103120e+00,1.121427e+00,1.181838e+00,1.242976e+00,1.274902e+00,1.317446e+00,1.374590e+00,1.388570e+00,1.382771e+00,1.345134e+00,1.297721e+00,1.235713e+00,1.201097e+00,1.207638e+00,1.215547e+00,1.234862e+00,1.274434e+00,1.281233e+00,1.277087e+00,1.270117e+00,1.258589e+00,1.243275e+00
1.880430e+04,1.159346e+00,1.230285e+00,1.285718e+00,1.295745e+00,1.288207e+00,1.322362e+00,1.359414e+00,1.352190e+00,1.302601e+00,1.242802e+00,1.135282e+00,1.119272e+00,1.174544e+00,1.250306e+00,1.330233e+00,1.377523e+00,1.367361e+00,1.316917e+00,1.199448e+00,1.111199e+00,1.086814e+00,1.122256e+00,1.179191e+00,1.216114e+00,1.276744e+00,1.366246e+00,1.395860e+00,1.407068e+00,1.374538e+00,1.320520e+00,1.243612e+00,1.192277e+00,1.191112e+00,1.193934e+00,1.219316e+00,1.265233e+00,1.277846e+00,1.274599e+00,1.270655e+00,1.254503e+00,1.236532e+00
2.024924e+04,1.028263e+00,1.052212e+00,1.119456e+00,1.163192e+00,1.245269e+00,1.419490e+00,1.508745e+00,1.538382e+00,1.483706e+00,1.365668e+00,1.144180e+00,1.017610e+00,1.036119e+00,1.142168e+00,1.288355e+00,1.410822e+00,1.430453e+00,1.401312e+00,1.284615e+00,1.159507e+00,1.079998e+00,1.073247e+00,1.114262e+00,1.143562e+00,1.207970e+00,1.329759e+00,1.378312e+00,1.415845e+00,1.394528e+00,1.341138e+00,1.252966e+00,1.187160e+00,1.174147e+00,1.167751e+00,1.195316e+00,1.250090e+00,1.264238e+00,1.262000e+00,1.259668e+00,1.244271e+00,1.222706e+00
2.169419e+04,1.204642e+00,1.040499e+00,9.664801e-01,9.324417e-01,1.014239e+00,1.355023e+00,1.578524e+00,1.665613e+00,1.647964e+00,1.583808e+00,1.309451e+00,1.047208e+00,9.268753e-01,9.908261e-01,1.168431e+00,1.364184e+00,1.424089e+00,1.440282e+00,1.357624e+00,1.236225e+00,1.133246e+00,1.071075e+00,1.069256e+00,1.081380e+00,1.129276e+00,1.269226e+00,1.339198e+00,1.412079e+00,1.406631e+00,1.359521e+00,1.261837e+00,1.180959e+00,1.157402e+00,1.140492e+00,1.164853e+00,1.232417e+00,1.251836e+00,1.251297e+00,1.251501e+00,1.232598e+00,1.206233e+00
2.313914e+04,1.551585e+00,1.366833e+00,1.193670e+00,9.875151e-01,8.093686e-01,1.131376e+00,1.431740e+00,1.634126e+00,1.754698e+00,1.727244e+00,1.505617e+00,1.203699e+00,9.567173e-01,8.890586e-01,1.020945e+00,1.247136e+00,1.338051e+00,1.397869e+00,1.375932e+00,1.301002e+00,1.194782e+00,1.114682e+00,1.064599e+00,1.042952e+00,1.044369e+00,1.191278e+00,1.277499e+00,1.382680e+00,1.402442e+00,1.369800e+00,1.270624e+00,1.178591e+00,1.141926e+00,1.114681e+00,1.135345e+00,1.206528e+00,1.230617e+00,1.232852e+00,1.235357e+00,1.214543e+00,1.186650e+00
2.458408e+04,1.686787e+00,1.666760e+00,1.535914e+00,1.309318e+00,9.367706e-01,8.630598e-01,1.169706e+00,1.438020e+00,1.616718e+00,1.679213e+00,1.598009e+00,1.354504e+00,1.079905e+00,9.073733e-01,9.110033e-01,1.098424e+00,1.203992e+00,1.286658e+00,1.325526e+00,1.321516e+00,1.264357e+00,1.180285e+00,1.104803e+00,1.055383e+00,9.900306e-01,1.105370e+00,1.197598e+00,1.335234e+00,1.381022e+00,1.367703e+00,1.285320e+00,1.182567e+00,1.125941e+00,1.092478e+00,1.097305e+00,1.178107e+00,1.205358e+00,1.212790e+00,1.214294e+00,1.193465e+00,1.162777e+00
2.602903e+04,1.544388e+00,1.714026e+00,1.688699e+00,1.521703e+00,1.172942e+00,8.332689e-01,9.858582e-01,1.198516e+00,1.440146e+00,1.502823e+00,1.543507e+00,1.408819e+00,1.196056e+00,1.013232e+00,9.334049e-01,1.022133e+00,1.094704e+00,1.166414e+00,1.234765e+00,1.298420e+00,1.300528e+00,1.252418e+00,1.191040e+00,1.122903e+00,9.919545e-01,1.046931e+00,1.131609e+00,1.291139e+00,1.364652e+00,1.376338e+00,1.311087e+00,1.205360e+00,1.137455e+00,1.085832e+00,1.081336e+00,1.165922e+00,1.199630e+00,1.211661e+00,1.217235e+00,1.196276e+00,1.158094e+00
2.747397e+04,1.336435e+00,1.605667e+00,1.657874e+00,1.551606e+00,1.260064e+00,9.178249e-01,9.928674e-01,1.156773e+00,1.326746e+00,1.383465e+00,1.433582e+00,1.356675e+00,1.215139e+00,1.087939e+00,1.037102e+00,1.074336e+00,1.093356e+00,1.113576e+00,1.144005e+00,1.241809e+00,1.306726e+00,1.340286e+00,1.302821e+00,1.237036e+00,1.053863e+00,1.031670e+00,1.097036e+00,1.263097e+00,1.360183e+00,1.397326e+00,1.355971e+00,1.253915e+00,1.176413e+00,1.100794e+00,1.079276e+00,1.176082e+00,1.214945e+00,1.229540e+00,1.244354e+00,1.219778e+00,1.176714e+00
