frequency,V0_amp,V1_amp,V2_amp,V3_amp,V4_amp,V5_amp,V6_amp,V7_amp,V8_amp,V9_amp,V10_amp,V11_amp,V12_amp,V13_amp,V14_amp,V15_amp,V16_amp,V17_amp,V18_amp,V19_amp,V20_amp,V21_amp,V22_amp,V23_amp,V24_amp,V25_amp,V26_amp,V27_amp,V28_amp,V29_amp,V30_amp,V31_amp,V32_amp,V33_amp,V34_amp,V35_amp,V36_amp,V37_amp,V38_amp,V39_amp,V40_amp
1.880430e+04,1.098546e+00,9.577386e-01,9.091881e-01,9.384946e-01,1.046531e+00,1.217700e+00,1.393387e+00,1.500695e+00,1.554970e+00,1.550317e+00,1.508319e+00,1.393728e+00,1.162935e+00,1.015981e+00,9.260183e-01,1.015400e+00,1.137553e+00,1.341699e+00,1.479283e+00,1.531359e+00,1.562917e+00,1.524740e+00,1.438993e+00,1.282117e+00,1.129488e+00,1.042755e+00,9.845767e-01,9.935297e-01,1.063557e+00,1.155411e+00,1.241851e+00,1.288198e+00,1.323545e+00,1.327716e+00,1.319022e+00,1.294414e+00,1.255604e+00,1.213654e+00,1.199555e+00,1.196214e+00,1.201154e+00
2.024924e+04,1.464407e+00,1.292043e+00,1.141491e+00,9.590908e-01,8.712355e-01,9.226887e-01,1.108678e+00,1.311590e+00,1.466252e+00,1.597438e+00,1.642908e+00,1.578535e+00,1.387987e+00,1.216421e+00,9.821881e-01,9.294266e-01,9.890983e-01,1.184979e+00,1.354394e+00,1.441760e+00,1.535319e+00,1.541245e+00,1.489634e+00,1.363028e+00,1.203802e+00,1.101372e+00,1.004196e+00,9.739855e-01,1.025131e+00,1.112957e+00,1.208104e+00,1.265353e+00,1.312946e+00,1.328387e+00,1.325848e+00,1.303128e+00,1.263752e+00,1.213908e+00,1.197586e+00,1.192132e+00,1.199016e+00
2.169419e+04,1.598616e+00,1.560303e+00,1.465338e+00,1.278593e+00,1.080082e+00,9.011305e-01,9.057632e-01,1.040034e+00,1.249000e+00,1.456267e+00,1.602908e+00,1.623234e+00,1.539784e+00,1.402764e+00,1.146931e+00,1.000135e+00,9.551978e-01,1.049721e+00,1.209906e+00,1.308457e+00,1.456050e+00,1.507940e+00,1.500952e+00,1.420665e+00,1.281094e+00,1.172629e+00,1.052263e+00,9.813868e-01,1.000302e+00,1.078698e+00,1.183355e+00,1.243232e+00,1.299747e+00,1.329163e+00,1.332602e+00,1.315083e+00,1.273170e+00,1.219581e+00,1.198835e+00,1.194062e+00,1.199546e+00
2.313914e+04,1.416284e+00,1.551181e+00,1.567301e+00,1.488942e+00,1.359663e+00,1.139036e+00,9.768455e-01,9.348807e-01,1.032728e+00,1.258473e+00,1.442463e+00,1.454165e+00,1.542890e+00,1.492432e+00,1.306838e+00,1.157212e+00,1.032133e+00,1.007561e+00,1.107398e+00,1.196409e+00,1.352729e+00,1.440893e+00,1.477383e+00,1.446743e+00,1.349116e+00,1.247021e+00,1.111307e+00,1.011054e+00,9.936908e-01,1.057791e+00,1.158032e+00,1.226590e+00,1.292284e+00,1.331125e+00,1.342220e+00,1.330476e+00,1.289231e+00,1.229205e+00,1.205120e+00,1.200320e+00,1.207606e+00
2.458408e+04,1.152393e+00,1.345243e+00,1.442646e+00,1.479338e+00,1.439077e+00,1.307846e+00,1.149768e+00,1.040125e+00,9.988661e-01,1.107597e+00,1.283626e+00,1.355713e+00,1.465401e+00,1.469017e+00,1.379479e+00,1.269159e+00,1.163845e+00,1.059160e+00,1.090408e+00,1.134719e+00,1.261698e+00,1.356039e+00,1.429418e+00,1.446050e+00,1.398660e+00,1.315338e+00,1.178546e+00,1.057243e+00,1.008840e+00,1.052908e+00,1.144679e+00,1.214131e+00,1.288520e+00,1.337935e+00,1.356647e+00,1.352940e+00,1.314855e+00,1.247833e+00,1.220655e+00,1.213603e+00,1.222684e+00
2.602903e+04,1.097938e+00,1.202735e+00,1.286191e+00,1.352874e+00,1.370825e+00,1.330815e+00,1.268567e+00,1.172768e+00,1.113711e+00,1.146883e+00,1.241757e+00,1.254716e+00,1.354185e+00,1.376927e+00,1.362645e+00,1.313003e+00,1.250902e+00,1.161116e+00,1.148035e+00,1.155099e+00,1.210805e+00,1.289245e+00,1.363764e+00,1.425148e+00,1.425973e+00,1.368172e+00,1.244203e+00,1.115940e+00,1.040098e+00,1.059643e+00,1.138250e+00,1.206387e+00,1.285920e+00,1.345184e+00,1.373234e+00,1.380204e+00,1.345362e+00,1.271464e+00,1.240373e+00,1.232228e+00,1.240985e+00
2.747397e+04,1.145994e+00,1.216403e+00,1.267405e+00,1.314822e+00,1.314883e+00,1.284773e+00,1.235640e+00,1.173904e+00,1.145740e+00,1.216037e+00,1.305599e+00,1.279607e+00,1.317581e+00,1.310301e+00,1.269257e+00,1.282345e+00,1.280861e+00,1.239554e+00,1.234575e+00,1.223125e+00,1.209954e+00,1.243035e+00,1.295603e+00,1.373200e+00,1.414356e+00,1.383499e+00,1.287511e+00,1.156770e+00,1.069071e+00,1.069188e+00,1.131655e+00,1.193294e+00,1.268459e+00,1.336742e+00,1.371705e+00,1.398516e+00,1.363321e+00,1.284850e+00,1.248926e+00,1.238626e+00,1.248703e+00
2.891892e+04,1.085216e+00,1.213907e+00,1.293052e+00,1.363740e+00,1.370946e+00,1.269517e+00,1.150624e+00,1.120781e+00,1.119210e+00,1.209501e+00,1.314531e+00,1.353500e+00,1.354273e+00,1.307754e+00,1.231991e+00,1.236622e+00,1.223237e+00,1.245472e+00,1.284020e+00,1.276310e+00,1.234705e+00,1.229893e+00,1.247893e+00,1.312648e+00,1.375524e+00,1.368964e+00,1.296615e+00,1.180237e+00,1.089583e+00,1.075935e+00,1.118566e+00,1.171701e+00,1.241439e+00,1.315331e+00,1.358419e+00,1.392977e+00,1.365931e+00,1.284474e+00,1.246273e+00,1.232713e+00,1.243840e+00
3.036387e+04,1.036923e+00,1.088600e+00,1.198881e+00,1.330371e+00,1.393138e+00,1.372398e+00,1.256667e+00,1.142931e+00,1.028257e+00,1.110619e+00,1.212282e+00,1.296824e+00,1.407962e+00,1.370758e+00,1.234854e+00,1.198168e+00,1.164221e+00,1.213220e+00,1.293670e+00,1.309892e+00,1.271864e+00,1.251132e+00,1.230360e+00,1.262196e+00,1.332823e+00,1.338604e+00,1.277654e+00,1.187878e+00,1.109331e+00,1.080343e+00,1.121071e+00,1.157763e+00,1.223122e+00,1.287464e+00,1.333996e+00,1.388861e+00,1.359983e+00,1.284032e+00,1.232986e+00,1.226557e+00,1.225601e+00
3.180881e+04,1.132824e+00,1.037472e+00,1.075081e+00,1.226893e+00,1.345825e+00,1.404175e+00,1.344913e+00,1.228941e+00,1.072846e+00,1.048700e+00,1.135892e+00,1.248191e+00,1.427832e+00,1.425068e+00,1.294666e+00,1.207233e+00,1.135197e+00,1.175022e+00,1.290586e+00,1.322974e+00,1.304894e+00,1.279485e+00,1.244692e+00,1.244304e+00,1.300989e+00,1.315214e+00,1.266508e+00,1.201619e+00,1.117202e+00,1.113935e+00,1.122795e+00,1.150864e+00,1.211521e+00,1.262823e+00,1.316081e+00,1.392403e+00,1.376773e+00,1.292841e+00,1.240965e+00,1.228166e+00,1.226262e+00
